location,Coords,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
NICOBAR,"(7.0, 93.0)",57.9,65.2,117,358.5,295.5,285,271.9,354.8,326,315.2,250.9,
SOUTH ANDAMAN,"(11.7232031, 92.7011101945954)",26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,
LOHIT,"(27.8239052, 95.861898)",80.8,176.4,358.5,306.4,447,660.1,427.8,313.6,167.1,34.1,29.8,
EAST SIANG,"(28.3, 95.15)",79.5,105.9,216.5,323,738.3,990.9,711.2,568,206.9,29.5,31.7,
SUBANSIRI,"(27.21097645, 94.31944632429219)",48.3,85.3,101.5,140.5,228.4,217.4,182.8,159.8,75.9,20.9,11.6,
TIRAP,"(27.03016895, 95.49791754505583)",72.7,141,316.9,328.7,614.7,851.9,500.6,418.3,218.7,42.9,22.9,
ANJAW (LOHIT),"(28.0559666, 96.8033699)",80.8,176.4,358.5,306.4,447,660.1,427.8,313.6,167.1,34.1,29.8,
LOWER DIBANG,"(28.0463795, 95.6622503)",153.9,303.5,383.6,268,374.2,272,160.5,266.7,167.2,64,56,
CHANGLANG,"(27.1398402, 95.7382485)",170.9,367.9,554.4,334.2,526.2,460.8,291.5,353.6,275,64.9,74.2,
PAPUM PARE,"(27.286366649999998, 93.61877159710389)",67.8,106.1,226.9,453,640.5,609.5,503.4,492.3,214.7,19.2,11.3,
LOW SUBANSIRI,"(27.8, 93.6)",109.3,92.4,204.3,266.2,284.1,248.9,270.5,192.7,78.5,49.5,27.2,
UPPER SIANG,"(28.73120455, 95.03773151350946)",176.7,362.6,397.5,408.7,801.9,653,417.9,686,264.9,86.9,71.7,
WEST SIANG,"(28.4, 94.55)",66.7,76.8,229.2,239.5,416.6,592.4,312.4,291.1,126.8,33.7,29.5,
DIBANG VALLEY,"(28.0463795, 95.6622503)",153.9,303.5,383.6,268,374.2,272,160.5,266.7,167.2,64,56,
WEST KAMENG,"(27.4, 92.35)",43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27,
EAST KAMENG,"(27.3, 93.05)",74.4,96.5,156.9,208,345.7,368.5,256.2,275.9,138.2,34.4,27.2,
TAWANG,"(27.5879186, 91.863733)",43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27,
KURUNG KUMEY,"(28.1990234, 93.0591774)",70,128.2,245.7,271.4,292.7,404,276.3,283.5,92.3,32.3,42.4,
CACHAR,"(24.758639950000003, 92.88166475768219)",50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,
DARRANG,"(26.75, 92.5)",21.4,53.5,168.8,320,419.7,345.8,272.1,221.5,95.4,17.2,9.3,
GOALPARA,"(26.1783623, 90.6226683)",20.4,51.1,196.6,399.8,567.8,502.8,334.6,304.9,157.7,21.7,5.2,
KAMRUP,"(26.14688605, 91.22273972821812)",20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,
LAKHIMPUR,"(27.0827158, 93.9978423)",48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23,20.4,
NORTH CACHAR,"(25.5, 93.0)",47.5,158.9,207.9,308,328.1,270.3,201.3,189.1,196.4,42.1,11.2,
NAGAON,"(26.30414915, 92.71605974430346)",22.5,48.1,128.9,171.3,285.9,326.3,294.1,218.6,120,21.6,10.8,
